Rk,G,Date,Age,Tm,,Opp,,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,STOCK,Home/Away
15,1,15/11/2022,23-061,MEM,@,NOP,L (-11),1,25:02:00,3,14,0.214,0,7,0,1,2,0.5,2,4,6,0,0,5,5,Away
20,5,27/11/2022,23-073,MEM,@,NYK,W (+4),1,30:18:00,8,19,0.421,3,8,0.375,2,2,1,2,3,5,0,1,0,1,Away
21,6,30/11/2022,23-076,MEM,@,MIN,L (-8),1,24:47:00,5,10,0.5,1,4,0.25,5,6,0.833,4,7,11,0,0,2,2,Away
23,8,04/12/2022,23-080,MEM,@,DET,W (+10),1,29:49:00,7,13,0.538,2,4,0.5,6,7,0.857,3,0,3,0,0,1,1,Away
29,13,17/12/2022,23-093,MEM,@,OKC,L (-6),1,28:24:00,3,8,0.375,2,6,0.333,8,10,0.8,3,5,8,1,0,0,0,Away
30,14,20/12/2022,23-096,MEM,@,DEN,L (-14),1,21:45,3,6,0.5,1,3,0.333,1,2,0.5,0,2,2,1,3,5,8,Away
31,15,23/12/2022,23-099,MEM,@,PHO,W (+25),1,27:49:00,9,17,0.529,1,4,0.25,5,6,0.833,3,7,10,1,1,2,3,Away
32,16,25/12/2022,23-101,MEM,@,GSW,L (-14),1,20:39,5,7,0.714,1,2,0.5,0,0,,1,1,2,0,1,2,3,Away
34,18,29/12/2022,23-105,MEM,@,TOR,W (+13),1,29:05:00,7,15,0.467,1,3,0.333,0,0,,3,2,5,3,0,2,2,Away
37,21,04/01/2023,23-111,MEM,@,CHO,W (+24),1,24:05:00,6,10,0.6,1,3,0.333,4,5,0.8,1,7,8,1,0,3,3,Away
38,22,05/01/2023,23-112,MEM,@,ORL,W (+8),1,31:58:00,12,14,0.857,2,3,0.667,5,7,0.714,2,8,10,1,1,3,4,Away
42,26,14/01/2023,23-121,MEM,@,IND,W (+18),1,21:54,4,5,0.8,1,1,1,0,0,,0,10,10,3,1,2,3,Away
45,29,20/01/2023,23-127,MEM,@,LAL,L (-1),1,33:01:00,3,8,0.375,1,4,0.25,5,6,0.833,1,5,6,0,1,4,5,Away
46,30,22/01/2023,23-129,MEM,@,PHO,L (-2),1,22:43,3,6,0.5,2,3,0.667,0,0,,1,3,4,0,0,3,3,Away
47,31,23/01/2023,23-130,MEM,@,SAC,L (-33),1,28:15:00,7,18,0.389,3,6,0.5,2,2,1,2,3,5,2,1,1,2,Away
48,32,25/01/2023,23-132,MEM,@,GSW,L (-2),1,27:52:00,4,11,0.364,2,3,0.667,7,8,0.875,3,3,6,0,0,0,0,Away
49,33,27/01/2023,23-134,MEM,@,MIN,L (-11),1,28:13:00,5,17,0.294,0,5,0,4,5,0.8,3,4,7,0,2,2,4,Away
16,2,18/11/2022,23-064,MEM,,OKC,W (+11),1,24:54:00,7,16,0.438,3,6,0.5,8,11,0.727,5,7,12,0,2,3,5,Home
18,3,22/11/2022,23-068,MEM,,SAC,L (-4),1,27:28:00,8,14,0.571,1,5,0.2,5,7,0.714,0,3,3,1,2,5,7,Home
19,4,25/11/2022,23-071,MEM,,NOP,W (+21),1,21:48,6,7,0.857,2,3,0.667,6,7,0.857,0,4,4,0,1,3,4,Home
22,7,02/12/2022,23-078,MEM,,PHI,W (+8),1,26:12:00,7,12,0.583,2,5,0.4,6,7,0.857,3,6,9,0,1,4,5,Home
25,9,07/12/2022,23-083,MEM,,OKC,W (+21),1,25:45:00,5,9,0.556,2,4,0.5,0,0,,0,3,3,1,2,5,7,Home
26,10,09/12/2022,23-085,MEM,,DET,W (+11),1,29:37:00,8,12,0.667,3,5,0.6,1,4,0.25,1,4,5,0,2,4,6,Home
27,11,12/12/2022,23-088,MEM,,ATL,W (+25),1,23:36,6,11,0.545,1,4,0.25,2,2,1,0,7,7,2,0,8,8,Home
28,12,15/12/2022,23-091,MEM,,MIL,W (+41),1,12:53,1,2,0.5,1,1,1,1,2,0.5,1,5,6,2,0,0,0,Home
33,17,27/12/2022,23-103,MEM,,PHO,L (-17),1,26:04:00,2,12,0.167,0,4,0,2,2,1,4,4,8,1,2,3,5,Home
35,19,31/12/2022,23-107,MEM,,NOP,W (+15),1,30:15:00,7,13,0.538,1,4,0.25,2,2,1,2,4,6,2,3,6,9,Home
36,20,01/01/2023,23-108,MEM,,SAC,W (+10),1,28:57:00,5,11,0.455,2,4,0.5,2,3,0.667,2,5,7,2,0,3,3,Home
39,23,08/01/2023,23-115,MEM,,UTA,W (+5),1,28:32:00,8,17,0.471,2,5,0.4,1,2,0.5,3,5,8,0,3,5,8,Home
40,24,09/01/2023,23-116,MEM,,SAS,W (+8),1,30:13:00,5,10,0.5,2,4,0.5,4,6,0.667,2,4,6,2,0,5,5,Home
41,25,11/01/2023,23-118,MEM,,SAS,W (+6),1,27:00:00,6,10,0.6,1,2,0.5,8,9,0.889,2,10,12,1,0,2,2,Home
43,27,16/01/2023,23-123,MEM,,PHO,W (+30),1,25:35:00,5,11,0.455,1,4,0.25,7,8,0.875,2,6,8,1,2,6,8,Home
44,28,18/01/2023,23-125,MEM,,CLE,W (+1),1,28:29:00,5,13,0.385,2,6,0.333,3,4,0.75,2,5,7,1,2,4,6,Home
